Date,Time,Opponent,Total Sold,Total Attended,SeasonTicketHolderTicketsDistributed,SeasonTicketHoldersAttended,PreSeason,CovidImpact,Giveaways
11/23/2022,7:00pm,Portland Trail Blazers,15870,17601,9185.0,8358.0,0,0,0.0
12/6/2022,7:30pm,Los Angeles Lakers,16678,18276,9545.0,8972.0,0,0,0.0
12/2/2022,7:30pm,Orlando Magic,13193,14764,8723.0,7449.0,0,0,0.0
11/30/2022,7:00pm,Philadelphia 76ers,12956,14208,9357.0,7589.0,0,0,0.0
11/21/2022,7:00pm,Atlanta Hawks,14359,16323,8855.0,7677.0,0,0,0.0
11/20/2022,7:00pm,Miami Heat,13422,15623,9215.0,7741.0,0,0,0.0
11/18/2022,7:30pm,Charlotte Hornets,16759,17520,8978.0,7946.0,0,0,0.0
11/13/2022,6:00pm,Minnesota Timberwolves,14650,15910,9310.0,7755.0,0,0,0.0
11/2/2022,7:00pm,Boston Celtics,15874,17474,9394.0,8239.0,0,0,1.0
10/30/2022,6:00pm,New York Knicks,14080,16594,8963.0,7870.0,0,0,0.0
10/26/2022,7:00pm,Orlando Magic,12933,14860,8917.0,7517.0,0,0,0.0
10/23/2022,7:00pm,Washington Wizards,14306,15987,9083.0,8011.0,0,0,1.0
10/12/2022,7:00pm,Atlanta Hawks,11573,9149,10914.0,6352.0,1,0,0.0
10/10/2022,7:00pm,Philadelphia 76ers,11837,9462,10337.0,6378.0,1,0,0.0
4/10/2022,3:30pm,Milwaukee Bucks,12834,16116,7141.0,5998.0,0,0,1.0
4/3/2022,6:00pm,Philadelphia 76ers,10633,16070,7083.0,6021.0,0,0,0.0
3/30/2022,7:00pm,Dallas Mavericks,11124,14873,7272.0,4218.0,0,0,1.0
3/28/2022,7:00pm,Orlando Magic,12344,14163,6592.0,5867.0,0,0,0.0
3/26/2022,8:00pm,Chicago Bulls,14545,16866,7339.0,5357.0,0,0,0.0
3/21/2022,7:00pm,Los Angeles Lakers,15466,17947,6288.0,4464.0,0,0,0.0
3/19/2022,8:00pm,Detroit Pistons,14791,16197,7233.0,5425.0,0,0,1.0
3/18/2022,7:30pm,Denver Nuggets,12461,16378,7037.0,4011.0,0,0,0.0
3/16/2022,7:00pm,Philadelphia 76ers,11860,14469,7097.0,5394.0,0,0,0.0
3/14/2022,7:00pm,Los Angeles Clippers,10113,13465,7116.0,3771.0,0,0,1.0
3/6/2022,7:30pm,Toronto Raptors,12027,18636,6181.0,3214.0,0,0,0.0
3/2/2022,7:00pm,Charlotte Hornets,11740,14216,6048.0,5020.0,0,0,0.0
2/28/2022,7:00pm,Minnesota Timberwolves,11066,12773,5953.0,3691.0,0,0,0.0
2/26/2022,8:00pm,Washington Wizards,13267,15968,6409.0,5319.0,0,0,0.0
2/9/2022,7:00pm,San Antonio Spurs,12319,15640,6207.0,4779.0,0,0,1.0
2/6/2022,6:00pm,Indiana Pacers,13384,15355,6386.0,5173.0,0,0,1.0
1/31/2022,7:00pm,New Orleans Pelicans,10200,12308,6009.0,4447.0,0,0,1.0
1/26/2022,7:00pm,Milwaukee Bucks,10196,13637,6273.0,3513.0,0,0,0.0
1/24/2022,7:00pm,New York Knicks,9909,11151,6206.0,3786.0,0,0,1.0
1/22/2022,8:00pm,Oklahoma City Thunder,16250,15507,6433.0,5918.0,0,0,0.0
1/17/2022,3:00pm,Brooklyn Nets,12493,10388,6433.0,3474.0,0,0,0.0
1/4/2022,7:00pm,Memphis Grizzlies,11351,12647,5934.0,4985.0,0,0,0.0
1/2/2022,6:00pm,Indiana Pacers,11434,11652,6217.0,4228.0,0,0,0.0
12/31/2021,7:30pm,Atlanta Hawks,10506,10765,6233.0,4799.0,0,0,0.0
12/26/2021,6:00pm,Toronto Raptors,15536,17321,6441.0,4187.0,0,0,0.0
12/15/2021,7:00pm,Houston Rockets,8680,11343,5800.0,3944.0,0,0,0.0
12/13/2021,8:00pm,Miami Heat,8703,10765,6166.0,5673.0,0,0,0.0
12/11/2021,8:00pm,Sacramento Kings,13797,15064,6236.0,3305.0,0,0,0.0
12/8/2021,7:00pm,Chicago Bulls,10664,11763,6185.0,4082.0,0,0,0.0
12/5/2021,3:30pm,Utah Jazz,11822,12964,6336.0,4118.0,0,0,0.0
11/27/2021,8:00pm,Orlando Magic,11725,12125,5936.0,3324.0,0,0,0.0
11/24/2021,7:00pm,Phoenix Suns,12130,12272,6206.0,4903.0,0,0,0.0
11/22/2021,7:00pm,Brooklyn Nets,11160,11621,6360.0,5024.0,0,0,0.0
11/18/2021,7:30pm,Golden State Warriors,12569,14264,6191.0,5077.0,0,0,0.0
11/15/2021,7:00pm,Boston Celtics,9837,14289,5932.0,3619.0,0,0,0.0
11/13/2021,8:00pm,Boston Celtics,11924,17102,6122.0,5510.0,0,0,0.0
11/12/2021,7:30pm,Detroit Pistons,10963,15685,5824.0,3669.0,0,0,0.0
11/10/2021,7:00pm,Washington Wizards,9322,15120,5808.0,3136.0,0,0,0.0
11/3/2021,7:00pm,Portland Trail Blazers,10463,13909,6129.0,4903.0,0,0,0.0
10/23/2021,6:00pm,Atlanta Hawks,9985,13899,5869.0,4108.0,0,0,0.0
10/22/2021,7:00pm,Charlotte Hornets,9920,14548,6083.0,5049.0,0,0,1.0
10/10/2021,7:00pm,Chicago Bulls,7084,7753,6211.0,3851.0,1,0,0.0
10/8/2021,7:00pm,Indiana Pacers,7153,12553,6433.0,5082.0,1,0,0.0
2/21/2021,7:00pm,Oklahoma City Thunder,680,8748,-1.0,-1.0,0,1,0.0
5/9/2021,7:00pm,Dallas Mavericks,2811,3204,599.0,521.0,0,1,0.0
5/1/2021,8:00pm,Miami Heat,3120,3750,555.0,477.0,0,1,0.0
4/28/2021,7:00pm,Orlando Magic,1818,2555,608.0,401.0,0,1,0.0
1/11/2021,7:00pm,Memphis Grizzlies,640,1080,-1.0,-1.0,0,1,0.0
2/24/2021,7:30pm,Houston Rockets,690,8049,-1.0,-1.0,0,1,0.0
2/23/2021,7:00pm,Atlanta Hawks,690,7764,-1.0,-1.0,0,1,0.0
5/12/2021,8:00pm,Boston Celtics,3084,3349,602.0,307.0,0,1,0.0
5/10/2021,7:30pm,Indiana Pacers,2672,2715,551.0,452.0,0,1,0.0
5/5/2021,7:30pm,Portland Trail Blazers,2836,9798,555.0,339.0,0,1,0.0
5/4/2021,7:00pm,Phoenix Suns,2892,3259,606.0,339.0,0,1,0.0
4/30/2021,7:30pm,Washington Wizards,2603,3532,555.0,355.0,0,1,0.0
4/21/2021,7:00pm,Chicago Bulls,2373,2845,606.0,400.0,0,1,0.0
4/15/2021,8:00pm,Golden State Warriors,3174,3848,555.0,333.0,0,1,0.0
4/11/2021,7:00pm,New Orleans Pelicans,2398,3079,608.0,401.0,0,1,0.0
4/10/2021,7:30pm,Toronto Raptors,2980,3316,555.0,500.0,0,1,0.0
4/1/2021,7:00pm,Philadelphia 76ers,3099,3635,584.0,491.0,0,1,0.0
3/22/2021,7:30pm,Sacramento Kings,1462,6879,525.0,389.0,0,1,0.0
3/21/2021,7:00pm,Toronto Raptors,1860,7739,569.0,341.0,0,1,0.0
3/19/2021,7:30pm,San Antonio Spurs,2549,3089,-1.0,-1.0,0,1,0.0
3/17/2021,8:00pm,Boston Celtics,2227,9434,525.0,299.0,0,1,0.0
3/3/2021,7:00pm,Indiana Pacers,1680,2607,-1.0,-1.0,0,1,0.0
2/24/2021,7:30pm,Houston Rockets,1819,8049,-1.0,-1.0,0,1,0.0
2/23/2021,7:00pm,Atlanta Hawks,1930,7764,-1.0,-1.0,0,1,0.0
2/19/2021,7:00pm,Denver Nuggets,1650,2599,-1.0,-1.0,0,1,0.0
2/6/2021,8:00pm,Milwaukee Bucks,2585,3339,-1.0,-1.0,0,1,0.0
2/5/2021,7:30pm,Milwaukee Bucks,2196,2975,-1.0,-1.0,0,1,0.0
2/3/2021,8:00pm,Los Angeles Clippers,1762,2574,-1.0,-1.0,0,1,0.0
2/1/2021,8:00pm,Minnesota Timberwolves,1114,1910,-1.0,-1.0,0,1,0.0
1/27/2021,7:00pm,Detroit Pistons,1543,2006,-1.0,-1.0,0,1,0.0
1/25/2021,8:00pm,Los Angeles Lakers,2275,3477,-1.0,-1.0,0,1,0.0
1/22/2021,7:30pm,Brooklyn Nets,2086,2769,-1.0,-1.0,0,1,0.0
1/20/2021,7:00pm,Brooklyn Nets,1690,2544,-1.0,-1.0,0,1,0.0
1/15/2021,7:30pm,New York Knicks,1776,2109,-1.0,-1.0,0,1,0.0
1/12/2021,7:30pm,Utah Jazz,1077,1942,-1.0,-1.0,0,1,0.0
12/29/2020,7:00pm,New York Knicks,355,444,-1.0,-1.0,0,1,0.0
12/27/2020,7:30pm,Philadelphia 76ers,193,244,-1.0,-1.0,0,1,0.0
12/23/2020,7:00pm,Charlotte Hornets,199,287,-1.0,-1.0,0,1,0.0
